category,LIGHT,LIGHT,LIGHT,LIGHT,LIGHT,COLD,COLD,COLD,COLD,WET,WET,WET,WET,CONSUMER ELECTRONICS,CONSUMER ELECTRONICS,CONSUMER ELECTRONICS,CONSUMER ELECTRONICS,CONSUMER ELECTRONICS,HOME COMPUTING,HOME COMPUTING,HOME COMPUTING,HOME COMPUTING,HOME COMPUTING,COOKING,COOKING,COOKING,COOKING
year,Standard Light Bulb,Halogen,Fluorescent Strip Lighting,Energy Saving Light Bulb,LED,Chest Freezer,Fridge-freezer,Refrigerator,Upright Freezer,Washing Machine,Washer-dryer,Dishwasher,Tumble Dryer,TV,Set Top Box,DVD/VCR,Games Consoles,Power Supply Units,Desktops,Laptops,Monitors,Printers,Multi-Function Devices,Electric Oven,Electric Hob,Microwave,Kettle
2003,446664.9,94424.48,28665.15,42424.96,849.4,4231.06,16881.76,9378.75,6954.33,19437.49,3794.87,6627.65,9516.23,52045.88,15246.83,39614.51,10964.88,135445.36,11933.8,2066.79,11933.8,9523.51,1675.85,14967.03,11633.19,21163.12,24390.63
2004,437864.89,111629.91,27213.8,46790.43,1698.81,4218.23,17078.42,9389.98,7126.47,19626.83,3837.63,7310.32,9930.23,53217.78,19553.71,42754.37,11500.23,146186.69,12747.29,2761.85,13299.66,10699.11,3110.93,15260.31,11734.8,21541,24634.35
2005,429122.66,128835.35,25762.45,51155.91,2548.21,4214.85,17325.65,9427.19,7312,19873.3,3888.93,8153.25,10336.02,54513.7,21809.6,44929.68,11805.36,157496.29,13515.73,3652.13,14323.41,11474.99,4871.44,15557.88,11829.69,21864.41,24868.58
2006,420380.43,146040.78,24311.11,55521.38,3397.61,4209.47,17509.86,9527.43,7490.39,20120.24,3937.77,8626.18,10707.19,55786.77,24136.55,46328.09,11712.45,165649.28,13944.03,4845.5,15118.13,11903.82,6772.32,15859.7,11918.07,22128.01,25094.63
2007,411630.28,163246.22,22859.76,59886.85,4247.01,4201.4,17687.28,9623.96,7658.43,20359.83,3982.74,8973.69,11040.98,57021.19,26935.42,46390.39,13872.2,173114.82,13958.25,6636.65,15706.75,11964.16,8623.15,16120.62,11966.68,22288.55,25243.21
2008,392524.08,165701.77,21408.42,87880.83,4310.9,4193.31,17864.89,9720.6,7818.81,20600.12,4025.5,9195.17,11343.19,58243.31,29527.51,45573.97,15818.84,178981.48,13545.06,9387.79,16216.97,11155.35,10420.04,16384.86,12009.48,22449.1,25386.57
2009,337976.36,168177.71,19957.07,151378.08,4375.31,4186.15,18042.51,9817.25,7971.2,20840.89,4066.13,9419.25,11615.44,59452.85,31226.95,43935.64,18085.92,184926.44,12972.54,13016.04,16952.44,10186.05,12203.06,16652.34,12046.75,22609.65,25526.23
2010,242274,189343,18506,237429,4440,4180.99,18220.26,9913.97,8115.4,21082,4105,9646,11860,60651,32887,41880,19912,189941,12252,17287,17903,9323,14010,16923.01,12078.82,22770.19,25663.72
2011,147452,222631,17054,310558,4506,4179,18398,10011,8251,21324,4142,9875,12078,61837,33952,39798,20937,194764,11415,21952,19056,8633,15853,17196.79,12106,22998,25876
2012,78073.83,262801.01,15603.03,351785.71,4574.05,4182.92,18584.67,10112.25,8382.06,21577.01,4178.51,10112.25,12277.52,63041.98,34619.78,38069.92,20962.82,199381.73,10546.85,26724.25,20414.26,8192.49,17667.01,17466.22,12123.5,23230.84,26095.42
2013,42151.59,279603.07,14151.68,383009.6,4642.85,4192.25,18771.26,10213.78,8504.02,21830.28,4213.87,10351.8,12455.43,64236.83,34892.5,36520.14,20202.09,202620.73,10227.75,27641.17,21018.43,7960.8,19398.49,17738.48,12136.84,23464.08,26317.49
