category,LIGHT,LIGHT,LIGHT,LIGHT,LIGHT,COLD,COLD,COLD,COLD,WET,WET,WET,WET,CONSUMER ELECTRONICS,CONSUMER ELECTRONICS,CONSUMER ELECTRONICS,CONSUMER ELECTRONICS,CONSUMER ELECTRONICS,HOME COMPUTING,HOME COMPUTING,HOME COMPUTING,HOME COMPUTING,HOME COMPUTING,COOKING,COOKING,COOKING,COOKING
year,Standard Light Bulb,Halogen,Fluorescent Strip Lighting,Energy Saving Light Bulb,LED,Chest Freezer,Fridge-freezer,Refrigerator,Upright Freezer,Washing Machine,Washer-dryer,Dishwasher,Tumble Dryer,TV,Set Top Box,DVD/VCR,Games Consoles,Power Supply Units,Desktops,Laptops,Monitors,Printers,Multi-Function Devices,Electric Oven,Electric Hob,Microwave,Kettle
1998,1235.676,26.751,176.739,43.468,0,164.723,773.57,251.348,236.138,412.602,191.1,202.412,257.052,594.243,109.748,256.779,5.024,312.033,117.09,6.848,86.13,12.462,0,320.57,273.213,159.564,327.956
1999,1207.656,64.953,175.7,51.058,0,159.446,776.114,243.814,235.67,403.587,191.181,206.275,256.838,605.808,129.472,270.72,4.749,302.233,125.996,7.6,92.27,13.348,0,315.669,275.093,164.739,329.299
2000,1175.708,105.574,173.896,59.712,0,153.637,791.698,222.645,233.761,394.847,190.959,209.013,258.625,614.99,146.277,289.588,4.519,290.996,135.117,8.189,97.995,13.972,0.656,311.096,276.448,169.077,329.72
2001,1141.419,147.592,171.472,69.12,0,148.227,786.672,210.947,231.405,387.503,191.073,210.813,264.018,622.144,159.902,311.321,5.638,281.979,153.495,9.182,109.281,14.323,0.862,307.97,278.293,172.463,329.077
2002,1106.536,191.738,168.704,79.167,0,145.068,783.841,205.34,231.59,384.926,192.458,214.507,274.49,632.672,174.415,339.714,7.413,280.188,175.585,10.175,120.759,14.952,2.254,307.788,282.077,178.428,334.049
2003,1051.265,232.785,162.434,87.8,0.903,141.423,774.951,198.984,230.399,377.467,192.474,220.159,286.639,636.306,197.165,370.044,8.845,298.553,199.225,11.024,127.743,15.869,4.364,305.885,284.315,183.749,338.425
2004,995.306,272.894,155.543,96.085,2.673,137.789,766.352,192.734,228.967,372.095,192.764,234.913,299.845,635.635,225.094,396.177,9.703,327.025,229.267,14.248,137.301,17.481,7.1,304.861,286.91,188.733,342.84
2005,930.605,308.21,146.65,102.9,4.351,135.29,764.81,188.535,229.288,367.641,193.654,255.143,313.302,640.07,239.267,397.871,10.662,357.675,262.841,18.419,139.89,18.628,10.101,303.538,288.753,194.608,349.536
2006,894.537,351.62,141.615,112.463,6.125,134.818,765.315,188.333,232.161,367.889,197.466,268.324,333.103,658.964,260.605,390.116,16.533,383.1,296.108,24.168,139.968,19.457,13.026,303.407,291.296,202.812,361.141
2007,844.551,388.87,133.701,120.007,7.789,131.221,747.296,183.352,229.535,365.454,196.778,272.338,342,674.144,285.738,358.592,30.714,394.254,317.274,32.609,135.371,19.29,14.945,300.758,290.968,205.625,363.671
2008,729.96,374.103,119.347,137.906,7.48,126.092,721.368,176.734,224.141,364.744,196.134,270.096,350.983,686.052,297.011,308.956,40.401,402.895,326.456,43.912,128.556,17.062,16.083,296.156,288.33,206.035,361.891
2009,588.111,373.296,109.597,173.299,7.43,123.712,716.219,175.383,224.346,373.791,200.873,275.843,368.666,714.584,315.828,265.123,54.199,428.737,330.311,60.568,129.118,15.078,17.7,289.729,283.564,210.127,370.431
2010,428.704,446.244,108.104,220.255,8.264,119.261,707.067,173.297,222.91,381.896,204.435,280.762,384.064,740.46,337.487,220.828,67.567,458.136,321.441,81.098,134.006,13.184,19.429,266.265,263.092,213.396,377.519
2011,261.871,524.826,106.772,276.595,8.625,113.405,691.668,168.889,218.188,386.815,205.994,283.27,394.654,743.232,351.51,181.936,75.342,487.016,299.791,103.565,141.452,11.41,21.425,266.634,265.973,214.704,381.154
2012,142.036,593.75,104.538,331.998,8.643,108.465,680.569,165.702,214.123,394.187,208.525,287.431,406.301,745.766,364.331,155.222,80.644,521.537,272.82,127.855,152.487,10.202,23.557,268.299,270.058,216.893,386.418
2013,75.97676428,615.2653988,94.79910026,350.401323,8.617636266,102.7405971,663.1464732,161.1341012,207.7112981,398.2771327,209.1410099,289.1989627,413.3459797,738.8085778,371.2546956,137.535395,82.75062227,539.4605477,252.170753,133.7563238,156.4251821,9.343958965,25.11063928,266.0733146,270.3548961,215.6461624,388.378835
